timestamp	dpdk_commit	metric_value	description	diff_summary
2026-03-25T01:34:59.014919+00:00	99765c828088b34a3fb0b96ba39eeb9588b7e1d3	79.6108	batch n_bytes accumulation in zc rx/tx paths	"drivers/net/memif/rte_eth_memif.c | 12 ++++++++++--
 1 file changed, 10 insertions(+), 2 deletions(-)"
2026-03-25T01:40:22.475920+00:00	70e4597753c0574ba693ce3c0204aa6d895ae5f7	81.605	optimize tx mempool check first+last (build fix)	"drivers/net/memif/rte_eth_memif.c | 21 ++++++++++-----------
 1 file changed, 10 insertions(+), 11 deletions(-)"
2026-03-25T01:43:12.358341+00:00	afafdcea74439bb1ebd7402fcf8587451bc10bed	82.3887	fix RTE_MIN shadow warning and remove dead pkts==0 check	"drivers/net/memif/rte_eth_memif.c | 6 +++---
 1 file changed, 3 insertions(+), 3 deletions(-)"
2026-03-25T01:46:30.710250+00:00	26dbfb5c7ade7feb1945b853f87ddc744010bd3e	83.1	batch n_bytes in zc rx path only (not tx)	"drivers/net/memif/rte_eth_memif.c | 4 +++-
 1 file changed, 3 insertions(+), 1 deletion(-)"
2026-03-25T02:36:03.357371+00:00	9946d7a657538c5a75d8cf284e224e1f3a08f8a7	82.707	force-inline memif_get_buffer and memif_get_ring_from_queue	"drivers/net/memif/rte_eth_memif.c | 4 ++--
 1 file changed, 2 insertions(+), 2 deletions(-)"
2026-03-25T02:46:16.211943+00:00	82796c2debcf4da696ab3c32f5bbebe5a4a95097	85.2225	4-at-a-time unrolled tx fast path for single-segment packets	"drivers/net/memif/rte_eth_memif.c | 54 +++++++++++++++++++++++++++++++++++++++
 1 file changed, 54 insertions(+)"
2026-03-25T02:49:36.258066+00:00	c2153d5e738d31b07b8d31aa13b510fd5d377c78	85.3383	4x unroll + batched n_bytes in zc rx path	"drivers/net/memif/rte_eth_memif.c | 66 ++++++++++++++++++++++++++++++++++++---
 1 file changed, 61 insertions(+), 5 deletions(-)"
2026-03-25T03:03:17.960423+00:00	bd6593138cc969e9908222afd4b648410c6a8a76	87.5935	2x unroll non-ZC tx fast path for single-segment packets	"drivers/net/memif/rte_eth_memif.c | 36 ++++++++++++++++++++++++++++++++++++
 1 file changed, 36 insertions(+)"
2026-03-25T03:12:16.448538+00:00	fc0cb129eb29b5bacae33b160c6cb43df4a5f449	86.9027	prefetch next mbuf pointer in zc rx loop alongside descriptor	"drivers/net/memif/rte_eth_memif.c | 9 ++++++---
 1 file changed, 6 insertions(+), 3 deletions(-)"
2026-03-25T03:15:16.732473+00:00	65b546f9ac6f4392a9d471da488d524c9d7b0ffa	88.1636	bulk free stored mbufs instead of per-mbuf free_seg (FIXME tag)	"drivers/net/memif/rte_eth_memif.c | 21 ++++++++++++++++-----
 1 file changed, 16 insertions(+), 5 deletions(-)"
