sequence	timestamp	dpdk_commit	metric_value	status	description
4	2026-03-25T01:13:08.403461+00:00	a69c4e75ec4fe88da27c5891d41c453480ac7be8	77.6119	completed	add descriptor and buffer prefetch to eth_memif_rx fast path (retry)
7	2026-03-25T01:26:27.217274+00:00	27f206f7ca203a55f1b89d2bb01c62c57fa32169	81.711	completed	allocate exact mbuf count in rx to eliminate wasted alloc/free
8	2026-03-25T01:31:44.380427+00:00	4d0f374657a2376d81234a95f971d28b4dad66ec	85.3501	completed	batch n_bytes stats accumulation in rx/tx to reduce per-pkt memory writes
9	2026-03-25T01:34:58.965451+00:00	99765c828088b34a3fb0b96ba39eeb9588b7e1d3	79.6108	completed	batch n_bytes accumulation in zc rx/tx paths
11	2026-03-25T01:40:22.429400+00:00	70e4597753c0574ba693ce3c0204aa6d895ae5f7	81.605	completed	optimize tx mempool check first+last (build fix)
12	2026-03-25T01:43:12.311636+00:00	afafdcea74439bb1ebd7402fcf8587451bc10bed	82.3887	completed	fix RTE_MIN shadow warning and remove dead pkts==0 check
13	2026-03-25T01:46:30.664401+00:00	26dbfb5c7ade7feb1945b853f87ddc744010bd3e	83.1	completed	batch n_bytes in zc rx path only (not tx)
15	2026-03-25T02:36:03.311725+00:00	9946d7a657538c5a75d8cf284e224e1f3a08f8a7	82.707	completed	force-inline memif_get_buffer and memif_get_ring_from_queue
16	2026-03-25T02:41:19.355841+00:00	2e60c0238cd28ab3240328fd7d1031f38c823965	87.3715	completed	4-at-a-time unrolled rx fast path for single-segment packets
17	2026-03-25T02:46:16.166974+00:00	82796c2debcf4da696ab3c32f5bbebe5a4a95097	85.2225	completed	4-at-a-time unrolled tx fast path for single-segment packets
18	2026-03-25T02:49:36.211831+00:00	c2153d5e738d31b07b8d31aa13b510fd5d377c78	85.3383	completed	4x unroll + batched n_bytes in zc rx path
19	2026-03-25T02:52:20.803893+00:00	650969385ca87f066e625cc9240f0fd75c620983	87.8704	completed	batch n_bytes in zc rx only (no unrolling)
21	2026-03-25T02:57:59.503887+00:00	b8bfbfaf054373c894f6db1080fa1510c420800f	88.3454	completed	batch n_bytes in zc tx (build fix)
22	2026-03-25T03:03:17.913214+00:00	bd6593138cc969e9908222afd4b648410c6a8a76	87.5935	completed	2x unroll non-ZC tx fast path for single-segment packets
23	2026-03-25T03:06:16.578542+00:00	204d424732d666d738af8c4d5095d160a8811c2c	88.3545	completed	hoist desc_len and region addr out of zc rx refill loop
24	2026-03-25T03:09:30.337416+00:00	841b07f392bc812284a49d5f39e4728f8cb599c4	88.3901	completed	4x unroll S2C descriptor refill loop with hoisted buf_size
25	2026-03-25T03:12:16.399938+00:00	fc0cb129eb29b5bacae33b160c6cb43df4a5f449	86.9027	completed	prefetch next mbuf pointer in zc rx loop alongside descriptor
26	2026-03-25T03:15:16.685965+00:00	65b546f9ac6f4392a9d471da488d524c9d7b0ffa	88.1636	completed	bulk free stored mbufs instead of per-mbuf free_seg (FIXME tag)
